	lig	adj_sint
broderlig	broderlig	adj_sint
brukbar	brukbar	adj_sint
brun	brun	adj_sint
brutal	brutal	adj_sint
brysk	bratt	adj_sint
brysk	brattlendt	adj_sint
brysk	brå	adj_sint
brännbar	brennbar	adj_sint
bråd	fort	adj_sint
bråd	hurtig	adj_sint
bråd	kjapp	adj_sint
bunden	bundet	adj_sint
burgen	holden	adj_sint
burlesk	burlesk	adj_sint
byråkratisk	byråkratisk	adj_sint
bärbar	bærbar	adj_sint
bärig	bærekraftig	adj_sint
bökig	rusket	adj_sint
central	sentral	adj_sint
centralafrikansk	sentralafrikansk	adj_sint
chilensk	chilensk	adj_sint
civil	sivil	adj_sint
cool	kul	adj_sint
cynisk	kynisk	adj_sint
daglig	daglig	adj_sint
dansk	dansk	adj_sint
defensiv	defensiv	adj_sint
definitiv	definitiv	adj_sint
definitiv	endelig	adj_sint
dejlig	deilig	adj_sint
delikat	delikat	adj_sint
demokratisk	demokratisk	adj_sint
desperat	desperat	adj_sint
diger	diger	adj_sint
digital	digital	adj_sint
diplomatisk	diplomatisk	adj_sint
direkt	direkte	adj_sint
diskret	diskret	adj_sint
diskret	diskré	adj_sint
distinkt	distinkt	adj_sint
djup	dyp	adj_sint
dramatisk	dramatisk	adj_sint
drastisk	drastisk	adj_sint
dristig	dristig	adj_sint
driven	dugelig	adj_sint
driven	dyktig	adj_sint
driven	flink	adj_sint
drullig	klosset	adj_sint
drullig	tomsete	adj_sint
drumlig	klosset	adj_sint
drumlig	tomsete	adj_sint
drummelaktig	klosset	adj_sint
drummelaktig	tomsete	adj_sint
dryg	drøy	adj_sint
dubbel	dobbel	adj_sint
dum	dum	adj_sint
dynamisk	dynamisk	adj_sint
dyr	dyr	adj_sint
dyrbar	kostbar	adj_sint
dyrbar	verdifull	adj_sint
dyster	dyster	adj_sint
dålig	dårlig	adj_sint_gen
dålig	vond	adj_sint_gen
dåraktig	tåpelig	adj_sint
död	død	adj_sint_gen
dödlig	dødelig	adj_sint
döv	dauv	adj_sint
döv	døv	adj_sint
effektiv	effektiv	adj_sint
eftertänksam	ettertenksom	adj_sint
egen	egen	adj_sint
egentlig	egentlig	adj_sint
egoistisk	egoistisk	adj_sint
egyptisk	egyptisk	adj_sint
ekologisk	økologisk	adj_sint
ekonomisk	økonomisk	adj_sint
elastisk	elastisk	adj_sint
elegant	elegant	adj_sint
elektrisk	elektrisk	adj_sint
elektronisk	elektronisk	adj_sint
eländig	elendig	adj_sint
emfatisk	ettertrykkelig	adj_sint
enastående	enestående	adj
enastående	fremragende	adj
energisk	energisk	adj_sint
enda	eneste	adj
engelsk	engelsk	adj_sint
enhetlig	enhetlig	adj_sint
enhällig	enstemmig	adj_sint
enig	enig	adj_sint
enorm	enorm	adj_sint
ensam	ensom	adj_sint
ensidig	ensidig	adj_sint
simpel	enkelt	adj_sint
enstak	enkel	adj
påver	enkel	adj_sint
torftig	enkel	adj_sint
enkel	enkel	adj_sint
enskild	enkelt	adj_sint
enskild	personell	adj_sint
enskild	personlig	adj_sint
entusiastisk	entusiastisk	adj_sint
entydig	entydig	adj_sint
enveten	sta	adj_sint
envis	sta	adj_sint
erfaren	erfaren	adj_sint
erotisk	erotisk	adj_sint
estetisk	estetisk	adj_sint
estnisk	estisk	adj_sint
eterisk	eterisk	adj_sint
etiopisk	etiopisk	adj_sint
etisk	etisk	adj_sint
etnisk	etnisk	adj_sint
europeisk	europeisk	adj_sint
eventuell	eventuell	adj_sint
evig	evig	adj_sint
evinnerlig	evindelig	adj_sint
evärdlig	evindelig	adj_sint
exakt	eksakt	adj_sint
exempellös	enestående	adj_sint
exklusiv	eksklusiv	adj_sint
exotisk	eksotisk	adj_sint
expansiv	ekspansiv	adj_sint
explosiv	eksplosiv	adj_sint
extern	ekstern	adj_sint
extra	ekstra	adj
extraordinär	ekstraordinær	adj_sint
extrem	ekstrem	adj_sint
fabriksny	fabrikkny	adj_sint
faktisk	effektiv	adj_sint
faktisk	faktisk	adj_sint
