	lig	adj_sint
knacka	delje	vblex
knacka	kakke	vblex
knacka	knakke	vblex
knacka	kryste	vblex
knacka	skrappe	vblex
knacka	slå	vblex
knaka	knake	vblex_no-adjpp-pasv
knaka	knirke	vblex_no-adjpp-pasv
knalla	knalle	vblex_no-adjpp-pasv
knarra	gnike	vblex_no-adjpp-pasv
knarra	gnikse	vblex_no-adjpp-pasv
knarra	gnirke	vblex_no-adjpp-pasv
knarra	knirke	vblex_no-adjpp-pasv
knarra	knisle	vblex_no-adjpp-pasv
knarra	rikse	vblex_no-adjpp-pasv
knarra	rikte	vblex_no-adjpp-pasv
knastra	knase	vblex_no-adjpp-pasv
knata	pilte	vblex
knattra	knalle	vblex_no-adjpp-pasv
knipa	klype	vblex
knipa	knipe	vblex
knipsa	snitte	vblex
knirka	gnike	vblex_no-adjpp-pasv
knirka	gnikse	vblex_no-adjpp-pasv
knirka	gnirke	vblex_no-adjpp-pasv
knirka	knirke	vblex_no-adjpp-pasv
knirka	knisle	vblex_no-adjpp-pasv
knirka	rikse	vblex_no-adjpp-pasv
knirka	rikte	vblex_no-adjpp-pasv
knirra	gnike	vblex_no-adjpp-pasv
knirra	gnikse	vblex_no-adjpp-pasv
knirra	gnirke	vblex_no-adjpp-pasv
knirra	knirke	vblex_no-adjpp-pasv
knirra	knisle	vblex_no-adjpp-pasv
knirra	rikse	vblex_no-adjpp-pasv
knirra	rikte	vblex_no-adjpp-pasv
knistra	knistre	vblex_no-adjpp-pasv
knivhugga	knivhugge	vblex
knocka	banke	vblex
knocka	delje	vblex
knocka	kakke	vblex
knocka	knakke	vblex
knocka	kryste	vblex
knocka	skrappe	vblex
knocka	slå	vblex
knoppas	knoppe	vblex_pasv
knoppas	knuppe	vblex_pasv
knorra	knarre	vblex_no-adjpp-pasv
knorra	knurre	vblex_no-adjpp-pasv
knorra	murre	vblex_no-adjpp-pasv
knota	klynke	vblex_no-adjpp-pasv
knota	kvinke	vblex_no-adjpp-pasv
knota	sangre	vblex_no-adjpp-pasv
knota	sutre	vblex_no-adjpp-pasv
knuffa	dulte	vblex
knuffa	kibbe	vblex
knuffa	knuffe	vblex
knuffa	skubbe	vblex
knuffa	skyve	vblex
knulla	knulle	vblex
knulla	pule	vblex
knycka	flytte	vblex
knycka	lugge	vblex
knycka	rykke	vblex
knyppla	kniple	vblex
knysta	mukke	vblex_no-adjpp-pasv
knyta	bunte	vblex
knyta	kjerve	vblex
knyta	knippe	vblex
knyta	knope	vblex
knyta	knyte	vblex
knyta	knytte	vblex
knäböja	knee	vblex
knäböja	knele	vblex
knäcka	arbeide	vblex
knäcka	jobbe	vblex
knäcka	knekke	vblex
knäcka	sprekke	vblex
knäfalla	knee	vblex
knäfalla	knele	vblex
knäppa	dumme	vblex
knäppa	kneppe	vblex
knäppa	knipse	vblex
knåda	elte	vblex
knåda	kamse	vblex
knåda	kna	vblex
knåda	kumle	vblex
knåpa	banke	vblex_no-adjpp-pasv
koagulera	koagulere	vblex
koda	kode	vblex
kodifiera	kodifisere	vblex
koka	forvelle	vblex
koka	klumpe	vblex
koka	koke	vblex
kokettera	flørte	vblex_no-adjpp-pasv
kokettera	kokettere	vblex_no-adjpp-pasv
kola	kjøle	vblex
kolla	se	vblex
kolla	undersøke	vblex
kollaborera	kollaborere	vblex_no-adjpp-pasv
kollapsa	kollapse	vblex
kollationera	kontrollere	vblex
kollektivisera	kollektivisere	vblex
kollidera	kollidere	vblex_no-adjpp-pasv
kolonisera	kolonisere	vblex
kolorera	kolorere	vblex
kombinera	kombinere	vblex
råka	komme	vblex
råka	treffe	vblex
komma	komme	vblex
komma_bort	forsvinne	vblex
komma_ihåg	hugse	vblex
komma_ihåg	huske	vblex
komma_ihåg	huske	vblex
kommendera	kommandere	vblex
kommentera	kommentere	vblex
kommersialisera	kommersialisere	vblex
kommunalisera	kommunalisere	vblex
kommunicera	kommunisere	vblex
kompa	akkompagnere	vblex
komparera	komparere	vblex
kompensera	kompensere	vblex
kompilera	kompilere	vblex
komplettera	komplettere	vblex
komplicera	komplisere	vblex
komplimentera	komplimentere	vblex
komponera	komponere	vblex
kompostera	kompostere	vblex
komprimera	komprimere	vblex
kompromettera	kompromittere	vblex
kompromissa	kompromisse	vblex_no-adjpp-pasv
koncentrera	konsentrere	vblex
koncipiera	konsipere	vblex
kondensera	kondensere	vblex
kondolera	kondolere	vblex
konferera	konferere	vblex_no-adjpp-pasv
konfigurera	konfigurere	vblex_no-adjpp-pasv
konfirmera	ferme	vblex
konfirmera	konfirmere	vblex
konfiskera	konfiskere	vblex
konfrontera	konfrontere	vblex
kongruera	kongruere	vblex
konjugera	konjugere	vblex
konkludera	konkludere	vblex
konkretisera	konkretisere	vblex
konkurrensutsätta	konkurranseutsette	vblex
konkurrera	konkurrere	vblex_no-adjpp-pasv
konsertera	konsertere	vblex_no-adjpp-pasv
konservera	beholde	vblex
konservera	konservere	vblex
konsignera	konsignere	vblex
konsolidera	konsolidere	vblex
konspirera	konspirere	vblex_no-adjpp-pasv
konstatera	fastslå	vblex
konstatera	konstatere	vblex
konstituera	konstituere	vblex
konstruera	konstruere	vblex
konsultera	konsultere	vblex
konsumera	konsumere	vblex
kontakta	kontakte	vblex
kontaminera	kontaminere	vblex
kontera	konte	vblex
kontera	kontere	vblex
kontrahera	kontrahere	vblex
kontrasignera	kontrasignere	vblex
kontrastera	kontrastere	vblex
kontrollera	etterprøve	vblex
kontrollera	ha	vblex
kontrollera	kontrollere	vblex
kontrollera	råde	vblex
konvergera	konvergere	vblex
konversera	konversere	vblex
konvertera	konvertere	vblex
koordinera	koordinere	vblex
kopiera	kopiere	vblex
koppla	koble	vblex
kora	kore	vblex
kora	kåre	vblex
kora	single	vblex
kora	velge	vblex
korka	korke	vblex
korrelera	korrelere	vblex
korrespondera	korrespondere	vblex_no-adjpp-pasv
korrigera	korrigere	vblex
korrigera	rette	vblex
korrodera	korrodere	vblex
korrumpera	korrumpere	vblex
korsa	krysse	vblex
korsfästa	korsfeste	vblex
korsförhöra	krysseksaminere	vblex
korsförhöra	kryssforhøre	vblex
kosta	koste	vblex_no-adjpp-pasv
kostnadsberäkna	kostnadsberegne	vblex
kostymera	kostymere	vblex
krackelera	krakelere	vblex
krafsa	krafse	vblex
krafsa	krasse	vblex
krama	klemme	vblex
krama	omfavne	vblex
krasa	knase	vblex_no-adjpp-pasv
kratsa	krafse	vblex
kratsa	krasse	vblex
kratta	klore	vblex
kratta	rafse	vblex
kratta	rive	vblex
kratta	trase	vblex
kravla	klatre	vblex_no-adjpp-pasv
kravla	krabbe	vblex_no-adjpp-pasv
kravla	krake	vblex_no-adjpp-pasv
kravla	kravle	vblex_no-adjpp-pasv
kraxa	gjelle	vblex_no-adjpp-pasv
kraxa	hauke	vblex_no-adjpp-pasv
kraxa	oie	vblex_no-adjpp-pasv
kraxa	råle	vblex_no-adjpp-pasv
kraxa	skrike	vblex_no-adjpp-pasv
kraxa	våle	vblex_no-adjpp-pasv
kreditera	kreditere	vblex
kreera	kreere	vblex
kremera	kremere	vblex
kretsa	kretse	vblex_no-adjpp-pasv
krevera	eksplodere	vblex
kriga	krige	vblex_no-adjpp-pasv
kriminalisera	kriminalisere	vblex
kringgärda	omskrive	vblex
kringgå	kringgå	vblex
kringränna	kringsette	vblex
kringränna	omringe	vblex
kringskära	begrense	vblex
kringskära	skjære	vblex
kristallisera	krystallisere	vblex
kristna	kristne	vblex
kristna	omvende	vblex
krita	krite	vblex
kritisera	kritisere	vblex
krocka	bulke	vblex
krocka	kollidere	vblex
kroma	forkromme	vblex
kroppsvisitera	kroppsvisitere	vblex
krossa	knuse	vblex
krossa	knustre	vblex
krossa	krase	vblex
krossa	krysse	vblex
krossa	pukke	vblex
krubba	spise	vblex_no-adjpp-pasv
krulla	bukle	vblex
krulla	knurve	vblex
krulla	krulle	vblex
krulla	krølle	vblex
krulla	kveile	vblex
krusa	kruse	vblex
krydda	krydre	vblex
krylla	aure	vblex_no-adjpp-pasv
krylla	myldre	vblex_no-adjpp-pasv
krympa	krympe	vblex
krypa	klatre	vblex_no-adjpp-pasv
krypa	krabbe	vblex_no-adjpp-pasv
krypa	krake	vblex_no-adjpp-pasv
krypa	kraume	vblex_no-adjpp-pasv
krypa	kravle	vblex_no-adjpp-pasv
krypa	kreke	vblex_no-adjpp-pasv
krypa	krype	vblex_no-adjpp-pasv
krypa	kure	vblex_no-adjpp-pasv
kryptera	kryptere	vblex
kryptera	kryptifisere	vblex
kryssa	krysse	vblex
krysta	perse	vblex_no-adjpp-pasv
krysta	presse	vblex_no-adjpp-pasv
kräla	klatre	vblex_no-adjpp-pasv
kräla	krabbe	vblex_no-adjpp-pasv
kräla	krake	vblex_no-adjpp-pasv
kräla	kravle	vblex_no-adjpp-pasv
kränga	krenge	vblex
kränka	krenke	vblex
kräva	kreve	vblex
krävas	kreves	vblex_pasv
krångla	keivle	vblex_no-adjpp-pasv
krångla	kludre	vblex_no-adjpp-pasv
krångla	klundre	vblex_no-adjpp-pasv
krångla	kløne	vblex_no-adjpp-pasv
kröka	kroke	vblex
kröka	krumme	vblex
kröka	krøke	vblex
kröna	krone	vblex
kugga	dumpe	vblex
kujonera	kujonere	vblex
kullkasta	forpurre	vblex
kullra	kjevle	vblex_no-adjpp-pasv
kullra	rulle	vblex_no-adjpp-pasv
kulminera	kulminere	vblex_no-adjpp-pasv
kumulera	kumulere	vblex
kungöra	kunngjøre	vblex
kupa	kube	vblex
kupa	kvelve	vblex
kuppa	kuppe	vblex_no-adjpp-pasv
kurera	kurere	vblex
kurra	kurre	vblex_no-adjpp-pasv
kursa	høkre	vblex
kursa	selge	vblex
kursivera	kursivere	vblex
kurtisera	kurtisere	vblex
kuscha	underkue	vblex
kuska	kjøre	vblex_no-adjpp-pasv
kuta	springe	vblex_no-adjpp-pasv
kuttra	kurre	vblex_no-adjpp-pasv
kuva	kue	vblex
kuva	undertrykke	vblex
kvadda	knuse	vblex
kvadda	smadre	vblex
kvadrera	kvadrere	vblex
kvalificera	kvalifisere	vblex
kvantifiera	kvantifisere	vblex
kvantifiera	kvantitere	vblex
kvantifiera	tallfeste	vblex
kvarhålla	tilbakeholde	vblex
kvarlämna	dra	vblex
kvarlämna	etterlate	vblex
kvarstå	forbli	vblex_no-adjpp-pasv
kvarta	lægre	vblex_no-adjpp-pasv
kvarta	sove	vblex_no-adjpp-pasv
kverulera	kverulere	vblex_no-adjpp-pasv
kvida	klynke	vblex_no-adjpp-pasv
kvida	kvinke	vblex_no-adjpp-pasv
kvida	sangre	vblex_no-adjpp-pasv
kvida	sutre	vblex_no-adjpp-pasv
kvillra	risle	vblex_no-adjpp-pasv
kvirra	kverulere	vblex_no-adjpp-pasv
kvitta	utligne	vblex
kvitta	utlikne	vblex
kvittera	erkjenne	vblex
kvittera	kvittere	vblex
kvotera	kvotere	vblex
kväda	kvede	vblex
kvälja	plage	vblex
kväva	kjøve	vblex
kväva	kvele	vblex
kväva	kvæve	vblex
kväva	strupe	vblex
kväva	strype	vblex
kyla	kaste	vblex
kyla	kyle	vblex
kyssa	kysse	vblex
kyssa	susse	vblex
käka	spise	vblex
kämpa	bale	vblex_no-adjpp-pasv
kämpa	kjempe	vblex_no-adjpp-pasv
kämpa	krungle	vblex_no-adjpp-pasv
kämpa	slåss	vblex
känna	føle	vblex
känna	kjenne	vblex
känna	vite	vblex
kännas	vedgå	vblex_pasv
känneteckna	karakterisere	vblex
känneteckna	kjennetegne	vblex
kärna	kinne	vblex
kärna	kjerne	vblex
kärna_ur	steine	vblex
kånka	bære	vblex
kåras	kruse	vblex_pasv
kåsera	kåsere	vblex_no-adjpp-pasv
köa	køe	vblex_no-adjpp-pasv
könskvotera	kjønnskvotere	vblex
köpa	kjøpe	vblex
köpslå	kjøpslå	vblex
köpslå	prute	vblex
köra	kjøre	vblex
köra_in	tilkjøre	vblex
köra_om	overhale	vblex
labialisera	labialisere	vblex
laborera	streve	vblex_no-adjpp-pasv
lacka	lakkere	vblex
lackera	lakkere	vblex
ladda	la	vblex
ladda	lade	vblex
ladda	lade	vblex
ladda	lade	vblex
ladda	late	vblex
ladda_ner	laste	vblex
ladda_ner	laste	vblex
laga	gjøre	vblex
laga	lage	vblex
laga	lave	vblex
laga	utbedre	vblex
lagerföra	lagerføre	vblex
lagfara	tinglyse	vblex
lagfästa	lovfeste	vblex
lagra	lagre	vblex
lagstifta	lovfeste	vblex
lagsöka	sake	vblex
lagsöka	saksøke	vblex
lalla	lalle	vblex_no-adjpp-pasv
laminera	laminere	vblex
lamslå	fjetre	vblex
lamslå	klumse	vblex
lamslå	lamslå	vblex
landa	lande	vblex
landsförvisa	landsforvise	vblex
landsätta	landsette	vblex
langa	rekke	vblex
lansera	lansere	vblex
lappa	lappe	vblex
larma	alarmere	vblex
larma	larme	vblex
lasera	lasere	vblex
lassa	lese	vblex_no-adjpp-pasv
lassa	lesse	vblex_no-adjpp-pasv
lasta	laste	vblex
latinisera	latinisere	vblex
lattja	lege	vblex_no-adjpp-pasv
lattja	leke	vblex_no-adjpp-pasv
le	flire	vblex_no-adjpp-pasv
le	le	vblex_no-adjpp-pasv
le	lette	vblex_no-adjpp-pasv
le	smile	vblex_no-adjpp-pasv
leda	lede	vblex
leda	lete	vblex
ledsaga	følge	vblex
ledsaga	ledsage	vblex
legalisera	legalisere	vblex
legitimera	legitimere	vblex
leja	hyre	vblex
leja	leie	vblex
leka	lege	vblex_no-adjpp-pasv
leka	leke	vblex_no-adjpp-pasv
leka	spille	vblex_no-adjpp-pasv
lemlästa	lemleste	vblex
leta	lete	vblex
leta	søke	vblex
leva	leve	vblex
leva	feire	vblex_no-adjpp-pasv
leva	feste	vblex_no-adjpp-pasv
leverera	levere	vblex
liberalisera	liberalisere	vblex
licensiera	lisensiere	vblex
lida	gjennomgå	vblex
lida	lide	vblex
liera	alliere	vblex
lifta	haike	vblex_no-adjpp-pasv
ligga	gjøre	vblex_no-adjpp-pasv
ligga	lage	vblex_no-adjpp-pasv
ligga	lave	vblex_no-adjpp-pasv
ligga	ligge	vblex_no-adjpp-pasv
likna	jevnføre	vblex_no-adjpp-pasv
likna	ligne	vblex_no-adjpp-pasv
likna	likne	vblex_no-adjpp-pasv
likrikta	parallellisere	vblex
likställa	assimilere	vblex
likställa	jamstille	vblex
likställa	likestille	vblex
likställa	utjevne	vblex
likvidera	likvidere	vblex
limma	lime	vblex
linda	linde	vblex
linda	svøpe	vblex
linda	vikle	vblex
lindra	hugsvale	vblex
lindra	husvale	vblex
lindra	lindre	vblex
lindra	mildne	vblex
linjera	linjere	vblex
linka	hinke	vblex_no-adjpp-pasv
linka	linke	vblex_no-adjpp-pasv
lira	prille	vblex
lira	spille	vblex
lirka	lirke	vblex_no-adjpp-pasv
lirka	snuse	vblex_no-adjpp-pasv
lisma	fjeske	vblex_no-adjpp-pasv
lisma	sleske	vblex_no-adjpp-pasv
lisma	sliske	vblex_no-adjpp-pasv
lisma	smiske	vblex_no-adjpp-pasv
lista	liste	vblex
lista	stiltre	vblex
lita	lite	vblex_no-adjpp-pasv
liva	live	vblex
livnära	livnære	vblex
ljuda	artikulere	vblex_no-adjpp
ljuda	lyde	vblex_no-adjpp
ljudisolera	lydisolere	vblex
ljuga	juge	vblex
ljuga	ljuge	vblex
ljuga	lyge	vblex
ljuga	lyve	vblex
ljunga	lyne	vblex_no-adjpp-pasv
ljunga	skinne	vblex_no-adjpp-pasv
ljusna	klarne	vblex_no-adjpp-pasv
ljusna	lyse	vblex_no-adjpp-pasv
ljusna	lysne	vblex_no-adjpp-pasv
lobba	lobbe	vblex
locka	forlokke	vblex
locka	lokke	vblex
logera	losjere	vblex
logga	logge	vblex
lokalisera	finne	vblex
lokalisera	heimfeste	vblex
lokalisera	lokalisere	vblex
lomma	labbe	vblex_no-adjpp-pasv
lomma	trabelere	vblex_no-adjpp-pasv
lomma	traske	vblex_no-adjpp-pasv
loppa	loppe	vblex
lossa	losse	vblex
lossa	løsne	vblex
lossa	løyse	vblex
lossna	løsne	vblex_no-adjpp-pasv
lotsa	lose	vblex
lova	gjøle	vblex
lova	høle	vblex
lova	love	vblex
lova	panegyrere	vblex
lova	rose	vblex
lovprisa	lovprise	vblex
lovsjunga	lovsynge	vblex
lubba	kute	vblex_no-adjpp-pasv
lubba	løpe	vblex_no-adjpp-pasv
lubba	løype	vblex_no-adjpp-pasv
lubba	ploge	vblex_no-adjpp-pasv
luckra	løsne	vblex
luckra	løyse	vblex
luffa	vandre	vblex
lufta	lufte	vblex
lufttorka	lufttørke	vblex
lugga	rufse	vblex
lugga	ruske	vblex
lugga	røske	vblex
lugna	berolige	vblex
lugna	roe	vblex
lugna	roe	vblex
lukta	dunste	vblex
lukta	lukte	vblex
lura	bedra	vblex
lura	lure	vblex
lura	svike	vblex
luska	snuse	vblex_no-adjpp-pasv
lusläsa	inspisere	vblex
lusläsa	nærlese	vblex
luta	lene	vblex
luta	lute	vblex
lycka	lukke	vblex_no-adjpp-pasv
lycka	stenge	vblex_no-adjpp-pasv
lyckas	lykkes	vblex_pasv
lyda	adlyde	vblex
lyfta	jekke	vblex
lyfta	løfte	vblex
lyfta	svelle	vblex
lyfta	øke	vblex
lykta	slutte	vblex
lykta	tryte	vblex
lyncha	lynsje	vblex
lysa	dæme	vblex
lysa	gisle	vblex
lysa	glise	vblex
lysa	lysne	vblex
lysa	skeine	vblex
lysa	skinne	vblex
lysa	tire	vblex
lyssna	lye	vblex_no-adjpp-pasv
lyssna	lytte	vblex_no-adjpp-pasv
lyssna	lytte	vblex_no-adjpp-pasv
lystra	lystre	vblex_no-adjpp-pasv
läcka	lekke	vblex
lägga	legge	vblex
lägga_på	forhøye	vblex
lägga_på	øke	vblex
läka	helbrede	vblex
lämna	avgi	vblex
lämna	avlevere	vblex
lämna	etterlate	vblex
lämna	forlate	vblex
lämna	gi	vblex
lämna	la	vblex
lämna	overlate	vblex
lämna	overdra	vblex_no-adjpp-pasv
lämpa	lempe	vblex
längta	fyse	vblex_no-adjpp-pasv
längta	hipe	vblex_no-adjpp-pasv
längta	lenges	vblex
längta	lengte	vblex_no-adjpp-pasv
längta	stunde	vblex_no-adjpp-pasv
längta	ønske	vblex_no-adjpp-pasv
länka	lenke	vblex
länsa	lense	vblex
lära	lære	vblex
läsa	lese	vblex
läsa_in	lære	vblex
läska	leske	vblex
läspa	lespe	vblex_no-adjpp-pasv
lätta	lette	vblex
låga	flamme	vblex_no-adjpp-pasv
låna	låne	vblex
låsa	låse	vblex
låta	høres	vblex
låta	la	vblex_no-adjpp-pasv
låta	late	vblex_no-adjpp-pasv
låta	lyde	vblex_no-adjpp-pasv
låta	låte	vblex_no-adjpp-pasv
låtsa	late	vblex
låtsas	late	vblex_pasv
löda	lodde	vblex
löddra	skumme	vblex_no-adjpp-pasv
löga	lauge	vblex
löga	vaske	vblex
löna	gasjere	vblex
löna	lønne	vblex
löpa	kute	vblex_no-adjpp
löpa	løpe	vblex_no-adjpp
löpa	løype	vblex_no-adjpp
lösa	løse	vblex
lösa_ut	innløse	vblex
lösa_ut	innløyse	vblex
lösgöra	løsne	vblex
madrassera	polstre	vblex
magasinera	magasinere	vblex
magnetisera	magnetisere	vblex
maka	flytte	vblex
makulera	makulere	vblex
mala	male	vblex
mala	malte	vblex
mana	mane	vblex
mangla	rulle	vblex
manifestera	manifestere	vblex
manipulera	manipulere	vblex
mankera	forsømme	vblex_no-adjpp-pasv
mankera	vanskjøtte	vblex_no-adjpp-pasv
mankera	vanstelle	vblex_no-adjpp-pasv
mankera	vanstyre	vblex_no-adjpp-pasv
manövrera	manøvrere	vblex
marinera	marinere	vblex
markera	markere	vblex
markera	velge	vblex
marknadsföra	markedsføre	vblex
marschera	marsjere	vblex_no-adjpp-pasv
martera	martre	vblex
maska	maske	vblex
maskera	maskere	vblex
maskera	skjule	vblex
maskulinisera	maskulinisere	vblex
massakrera	massakrere	vblex
massera	massere	vblex
massproducera	masseprodusere	vblex
masturbera	masturbere	vblex_no-adjpp-pasv
mata	mate	vblex
matcha	matche	vblex
materialisera	materialisere	vblex
matta	svekke	vblex
mattera	mattere	vblex
maxa	maksimere	vblex
maximera	maksimere	vblex
meddela	kommunisere	vblex_no-adjpp-pasv
meddela	meddele	vblex_no-adjpp-pasv
medföra	forårsake	vblex
medföra	medføre	vblex
medge	innrømme	vblex
medge	medgi	vblex
medicinera	medisinere	vblex
medla	megle	vblex_no-adjpp-pasv
medla	mekle	vblex_no-adjpp-pasv
medverka	medvirke	vblex_no-adjpp-pasv
meja	meie	vblex
meja	slå	vblex
mejsla	meisle	vblex
mekanisera	mekanisere	vblex
mellanlanda	mellomlande	vblex
memorera	memorere	vblex
mena	mene	vblex
menstruera	menstruere	vblex_no-adjpp-pasv
metallisera	metallisere	vblex
migrera	migrere	vblex_no-adjpp-pasv
mildra	linne	vblex
mildra	mildne	vblex
militarisera	militarisere	vblex
miljömärka	miljømerke	vblex
mima	mime	vblex
minera	minere	vblex
minimera	minimere	vblex
minna	minne	vblex
minnas	huske	vblex_pasv
minnas	minnes	vblex_pasv
minska	minke	vblex
minska	minske	vblex
minska	redusere	vblex
missa	gå	vblex
missa	misse	vblex
missa	myse	vblex
missa	plire	vblex
missakta	forakte	vblex
missakta	svivørde	vblex
missbedöma	feilbedømme	vblex
missbruka	knarke	vblex
missbruka	misbruke	vblex
missförstå	misforstå	vblex_no-adjpp-pasv
missgynna	forfordele	vblex
misshandla	lemstre	vblex
misshandla	mishandle	vblex
missionera	misjonere	vblex_no-adjpp-pasv
misskreditera	diskreditere	vblex
misskreditera	feilkreditere	vblex
misskänna	miskjenne	vblex
missköta	forsømme	vblex
missköta	vanskjøtte	vblex
missköta	vanstelle	vblex
missköta	vanstyre	vblex
missleda	villede	vblex
misslyckas	mislykkes	vblex_pasv
missta	feile	vblex
missta	forveksle	vblex
missta	forvirre	vblex
misstro	mistro	vblex
misstro	mistru	vblex
misstro	mistru	vblex
misströsta	fortvile	vblex_no-adjpp-pasv
misstycka	mislike	vblex_no-adjpp-pasv
misstänka	mistenke	vblex
misstänkliggöra	mistenkeliggjøre	vblex
missunna	avunde	vblex
missunna	misunne	vblex
missuppfatta	misforstå	vblex
missuppfatta	misoppfatte	vblex
mista	feile	vblex_no-adjpp
mista	mislykkes	vblex
mista	miste	vblex_no-adjpp
mista	tape	vblex_no-adjpp
mixtra	samle	vblex_no-adjpp-pasv
mixtra	sanke	vblex_no-adjpp-pasv
mjuka	mjuke	vblex
mjuka	mjukne	vblex
mjuka	myke	vblex
mjuka	mykne	vblex
mjukgöra	mjuke	vblex
mjukgöra	mjukne	vblex
mjukgöra	myke	vblex
mjukgöra	mykne	vblex
mjukna	mjukne	vblex_no-adjpp-pasv
mjöla	mele	vblex
mjölka	melke	vblex
mobba	mobbe	vblex
mobilisera	mobilisere	vblex
mocka	muge	vblex
modellera	modellere	vblex
moderera	moderere	vblex
modernisera	modernisere	vblex
modifiera	endre	vblex
modifiera	modifisere	vblex
modulera	modulere	vblex
mogna	modne	vblex_no-adjpp-pasv
mojna	spakne	vblex_no-adjpp-pasv
mojna	stilne	vblex_no-adjpp-pasv
monopolisera	monopolisere	vblex
montera	montere	vblex
moppa	svabre	vblex
moralisera	moralisere	vblex_no-adjpp-pasv
morra	knarre	vblex_no-adjpp-pasv
morra	knurre	vblex_no-adjpp-pasv
morra	murre	vblex_no-adjpp-pasv
morsa	helse	vblex_no-adjpp-pasv
morsa	hilse	vblex_no-adjpp-pasv
morsa	kjæte	vblex_no-adjpp-pasv
morsa	kåte	vblex_no-adjpp-pasv
morsa	more	vblex_no-adjpp-pasv
mosa	mose	vblex
motarbeta	motarbeide	vblex
motarbeta	møte	vblex
motbevisa	gjendrive	vblex
motbevisa	motbevise	vblex
motionera	mosjonere	vblex_no-adjpp-pasv
motivera	motivere	vblex
motorisera	motorisere	vblex
motse	forvente	vblex
motse	imøtese	vblex
motstå	motstå	vblex_no-adjpp-pasv
motsvara	motsvare	vblex_no-adjpp-pasv
motta	motta	vblex
motverka	motvirke	vblex
moussera	mussere	vblex_no-adjpp-pasv
mucka	mukke	vblex_no-adjpp-pasv
muddra	mudre	vblex
mullra	buldre	vblex_no-adjpp-pasv
multiplicera	gange	vblex
multiplicera	multiplisere	vblex
mumifiera	mumifisere	vblex
mumifiera	mumisere	vblex
mumla	mulle	vblex_no-adjpp-pasv
mumla	mumle	vblex_no-adjpp-pasv
mumsa	spise	vblex_no-adjpp-pasv
mura	mure	vblex
murkna	morkne	vblex_no-adjpp-pasv
murkna	råtne	vblex_no-adjpp-pasv
musicera	musisere	vblex_no-adjpp-pasv
muta	bestikke	vblex
muta	mute	vblex
mutera	mutere	vblex
muttra	mulle	vblex_no-adjpp-pasv
muttra	mumle	vblex_no-adjpp-pasv
mylla	molde	vblex
myllra	aure	vblex_no-adjpp-pasv
myllra	myldre	vblex_no-adjpp-pasv
mynna	munne	vblex_no-adjpp-pasv
mynta	mynte	vblex
mynta	utmynte	vblex
mysa	myse	vblex_no-adjpp-pasv
mystifiera	mystifisere	vblex
mäkla	megle	vblex
mäkta	håndtere	vblex_no-adjpp-pasv
mäkta	makte	vblex_no-adjpp-pasv
mäla	si	vblex
mäla	sige	vblex
märka	merke	vblex
mässa	messe	vblex_no-adjpp-pasv
mästra	kritisere	vblex
mästra	mestre	vblex
mäta	mette	vblex
mäta	måle	vblex
mäta	utlegge	vblex
mäta_ut	bestemme	vblex
mätta	mette	vblex
måla	male	vblex
måla	måle	vblex
mångdubbla	mangedoble	vblex
mångdubbla	multiplisere	vblex
mångfaldiga	reprodusere	vblex
mångla	handle	vblex
möblera	møblere	vblex
mögla	mugne	vblex_no-adjpp-pasv
mögla	mygle	vblex_no-adjpp-pasv
möjliggöra	muliggjøre	vblex
mönstra	mønstre	vblex
mörbulta	mørbanke	vblex
mörda	myrde	vblex
mörka	gjemme	vblex
mörka	gjømme	vblex
mörka	lagre	vblex
mörka	mørke	vblex
mörklägga	mørklegge	vblex
mörkna	mørke	vblex_no-adjpp-pasv
mörkna	mørkne	vblex_no-adjpp-pasv
möta	møte	vblex
möta	møtes	vblex
nacka	hogge	vblex
nacka	hugge	vblex
nacka	kjakse	vblex
nacka	kolle	vblex
nacka	snaue	vblex
nafsa	nappe	vblex
nafsa	nufse	vblex
nafsa	nugge	vblex
nafsa	nykke	vblex
nagla	nagle	vblex
naja	bendsle	vblex
naja	gjorde	vblex
naja	gjure	vblex
naja	surre	vblex
naja	vire	vblex
nalla	negle	vblex
namnge	navngi	vblex
nappa	bite	vblex
nappa	nappe	vblex
narra	dåre	vblex
narra	gjøne	vblex
narra	jukse	vblex
narra	lure	vblex
narra	narre	vblex
narra	tøyse	vblex
narras	juge	vblex_pasv
narras	ljuge	vblex_pasv
narras	lyge	vblex_pasv
narras	lyve	vblex_pasv
nasalera	nasalere	vblex
nationalisera	nasjonalisere	vblex
natta	putte	vblex
natta	smette	vblex
naturalisera	naturalisere	vblex
navigera	navigere	vblex
nedkalla	kalle	vblex
nedkalla	påkalle	vblex
nedlägga	legge	vblex
nedlägga	nedlegge	vblex
nedmontera	demontere	vblex_no-adjpp-pasv
nedstiga	nedstige	vblex
nedsätta	nedsette	vblex
nedteckna	nedtegne	vblex
nedteckna	skildre	vblex
nedvärdera	nedvurdere	vblex
negera	negere	vblex
negligera	forsømme	vblex
negligera	neglisjere	vblex
negociera	akkedere	vblex
negociera	forhandle	vblex
negotiera	akkedere	vblex
negotiera	forhandle	vblex
neka	blånekte	vblex
neka	nekte	vblex
nerlägga	nedlegge	vblex
neutralisera	nøytralisere	vblex
nicka	heade	vblex
nicka	nikke	vblex
niga	knikse	vblex_no-adjpp-pasv
niga	neie	vblex_no-adjpp-pasv
nivellera	nivellere	vblex
njuta	nyte	vblex
